,Название,ISIN,Рейтинг,Качество Эмитента,Объем,Дата Выпуска,Дата Погашения / Оферты,Купон,Частота Выплат,Дюрация,numRating,toMaturity,dateStart,dateEnd,risk_free_yield_toMaturity,risk_free_yield_toDuration,effYield,premium
103,БиоВит 1Р1,RU000A10B7N0,B,6.1,100,02.04.2025,17.03.2028,28.0,12,1.89,7,2.958904109589041,2025-04-02,2028-03-17,16.06,16.63,31.888050590818672,15.828050590818673
104,СибКХП 1P3,RU000A10BHX3,B,5.1,150,29.04.2025,08.04.2029,25.5,12,1.84,7,3.9452054794520546,2025-04-29,2029-04-08,16.28,17.1,28.701863292309106,12.421863292309105
105,ЛаймЗайм05,RU000A10B8C1,B,3.0,400,04.04.2025,19.03.2028,27.5,12,1.43,7,2.958904109589041,2025-04-04,2028-03-19,16.54,17.59,31.245087565525576,14.705087565525577
106,НовТех1Р5,RU000A10BFK4,BB,3.6,400,18.04.2025,08.04.2027,23.25,12,1.43,4,1.9726027397260273,2025-04-18,2027-04-08,17.07,17.59,25.894785034834243,8.824785034834242
107,СЗА БО-02,RU000A10B7S9,B,6.2,100,02.04.2025,17.03.2028,28.5,12,1.86,7,2.958904109589041,2025-04-02,2028-03-17,16.06,16.63,32.53389979466574,16.473899794665744
108,ТГК-14 1Р7,RU000A10BPF3,BB-,6.5,6500,29.05.2025,23.05.2030,21.5,4,3.01,5,4.986301369863014,2025-05-29,2030-05-23,15.77,16.0,23.29638701196288,7.526387011962882
109,ПолиплП2Б5,RU000A10BPN7,BB,4.3,7700,29.05.2025,19.05.2027,25.5,12,1.48,4,1.9726027397260273,2025-05-29,2027-05-19,16.43,16.88,28.701863292309106,12.271863292309106
110,Систем2P02,RU000A10BPZ1,BBB,3.7,12000,30.05.2025,20.05.2027,22.75,12,1.52,3,1.9726027397260273,2025-05-30,2027-05-20,16.27,16.69,25.278661699300997,9.008661699300998
111,БалтЛизП16,RU000A10BJX9,BBB,3.8,4500,30.05.2025,14.05.2028,22.25,12,1.5,3,2.958904109589041,2025-05-30,2028-05-14,15.85,16.69,24.665303498178503,8.815303498178503
112,АБЗ-1 2Р03,RU000A10BNM4,BB-,3.6,2500,23.05.2025,07.05.2028,25.5,12,1.69,5,2.958904109589041,2025-05-23,2028-05-07,16.18,17.47,28.701863292309106,12.521863292309106
113,АПРИ 2Р10,RU000A10BM56,B+,3.4,500,22.05.2025,15.08.2026,30.5,12,0.93,6,1.2328767123287672,2025-05-22,2026-08-15,18.08,18.08,35.146394506374136,17.066394506374138
114,Страна 03,RU000A10BP46,B+,3.1,1000,27.05.2025,11.05.2028,26.5,12,2.02,6,2.958904109589041,2025-05-27,2028-05-11,16.36,16.79,29.967773173405554,13.607773173405555
115,ПИР 1P3,RU000A10BP87,B,3.4,500,27.05.2025,11.05.2028,30.0,12,1.6,7,2.958904109589041,2025-05-27,2028-05-11,16.36,17.22,34.48888242462971,18.12888242462971
116,РусГидБП13,RU000A10BNF8,AA,4.2,15000,23.05.2025,11.08.2027,17.35,12,1.73,1,2.219178082191781,2025-05-23,2027-08-11,16.86,17.47,18.79839368286158,1.9383936828615802
117,МТС 2P-11,RU000A10BP79,AA,3.0,15000,27.05.2025,18.11.2026,19.0,12,3.21,1,1.4794520547945205,2025-05-27,2026-11-18,17.22,16.36,20.745099812976896,3.5250998129768973
118,ТЛК 1Р2,RU000A10BJL4,B,3.0,200,06.05.2025,01.05.2026,29.0,12,0.69,7,0.9863013698630136,2025-05-06,2026-05-01,18.34,18.89,33.18264695016104,14.842646950161043
119,ЭНИКА 1Р06,RU000A10BNK8,B+,4.3,300,23.05.2025,27.04.2030,27.0,12,2.23,6,4.931506849315069,2025-05-23,2030-04-27,15.78,16.86,30.60499898875677,14.82499898875677
120,СИМПЛ1Р03,RU000A10BNE1,BB,5.5,1000,23.05.2025,16.08.2026,22.5,12,0.95,4,1.2328767123287672,2025-05-23,2026-08-16,18.36,18.36,24.97163766330235,6.61163766330235
121,ВТБ Б1-372,RU000A10BJH2,AA,1.1,1480,05.05.2025,03.11.2025,20.3,4,0.25,1,0.4986301369863014,2025-05-05,2025-11-03,19.9,20.88,21.898284770969177,1.9982847709691782
122,sСОПФДОМ13,RU000A10BPQ0,AA,4.4,10000,29.05.2025,27.05.2027,17.95,4,1.56,1,1.9945205479452055,2025-05-29,2027-05-27,16.43,16.88,19.194811993167992,2.764811993167992
